suffix;len;count;%count;der;die;das;%der;%die;%das;rev
-mmi;3;1;0.01;1;0;0;100.00;0.00;0.00;imm-
-oast;4;1;0.01;1;0;0;100.00;0.00;0.00;tsao-
-itor;4;1;0.01;1;0;0;100.00;0.00;0.00;roti-
-ator;4;3;0.03;3;0;0;100.00;0.00;0.00;rota-
-fgabe;5;2;0.02;0;2;0;0.00;100.00;0.00;ebagf-
-wort;4;3;0.03;0;3;0;0.00;100.00;0.00;trow-
-nende;5;1;0.01;0;0;1;0.00;0.00;100.00;ednen-
-mum;3;1;0.01;0;0;1;0.00;0.00;100.00;mum-
-mlung;5;1;0.01;0;1;0;0.00;100.00;0.00;gnulm-
-nheit;5;11;0.13;0;11;0;0.00;100.00;0.00;tiehn-
-inik;4;1;0.01;0;1;0;0.00;100.00;0.00;kini-
-anik;4;1;0.01;0;1;0;0.00;100.00;0.00;kina-
-enkel;5;1;0.01;1;0;0;100.00;0.00;0.00;lekne-
-fzug;4;2;0.02;2;0;0;100.00;0.00;0.00;guzf-
-hbar;4;1;0.01;1;0;0;100.00;0.00;0.00;rabh-
-nzug;4;2;0.02;2;0;0;100.00;0.00;0.00;guzn-
-mel;3;4;0.05;3;1;0;75.00;25.00;0.00;lem-
-diger;5;1;0.01;1;0;0;100.00;0.00;0.00;regid-
-loß;3;1;0.01;1;0;0;100.00;0.00;0.00;ßol-
-min;3;2;0.02;1;1;0;50.00;50.00;0.00;nim-
-toß;3;1;0.01;1;0;0;100.00;0.00;0.00;ßot-
-anel;4;1;0.01;0;0;1;0.00;0.00;100.00;lena-
-mal;3;1;0.01;0;0;1;0.00;0.00;100.00;lam-
-enken;5;1;0.01;0;0;1;0.00;0.00;100.00;nekne-
-wäche;5;1;0.01;0;1;0;0.00;100.00;0.00;ehcäw-
-sky;3;1;0.01;1;0;0;100.00;0.00;0.00;yks-
-gge;3;1;0.01;0;1;0;0.00;100.00;0.00;egg-
-anal;4;1;0.01;1;0;0;100.00;0.00;0.00;lana-
-men;3;7;0.08;3;0;4;42.86;0.00;57.14;nem-
-mus;3;1;0.01;1;0;0;100.00;0.00;0.00;sum-
-man;3;1;0.01;1;0;0;100.00;0.00;0.00;nam-
-inen;4;3;0.03;0;0;3;0.00;0.00;100.00;neni-
--Mail;5;1;0.01;0;1;0;0.00;100.00;0.00;liaM--
-boden;5;1;0.01;1;0;0;100.00;0.00;0.00;nedob-
-iere;4;1;0.01;0;1;0;0.00;100.00;0.00;erei-
-aub;3;3;0.03;3;0;0;100.00;0.00;0.00;bua-
-ama;3;3;0.03;0;2;1;0.00;66.67;33.33;ama-
-utine;5;1;0.01;0;1;0;0.00;100.00;0.00;enitu-
-iene;4;2;0.02;0;2;0;0.00;100.00;0.00;enei-
-mer;3;12;0.14;4;2;6;33.33;16.67;50.00;rem-
-lase;4;1;0.01;0;1;0;0.00;100.00;0.00;esal-
-iner;4;2;0.02;2;0;0;100.00;0.00;0.00;reni-
-aner;4;2;0.02;2;0;0;100.00;0.00;0.00;rena-
-ener;4;1;0.01;1;0;0;100.00;0.00;0.00;rene-
-ehung;5;2;0.02;0;2;0;0.00;100.00;0.00;gnuhe-
-iefe;4;1;0.01;0;1;0;0.00;100.00;0.00;efei-
-aue;3;3;0.03;0;3;0;0.00;100.00;0.00;eua-
-gon;3;1;0.01;1;0;0;100.00;0.00;0.00;nog-
-auf;3;3;0.03;2;1;0;66.67;33.33;0.00;fua-
-anet;4;1;0.01;1;0;0;100.00;0.00;0.00;tena-
-iebe;4;2;0.02;0;1;1;0.00;50.00;50.00;ebei-
-lage;4;1;0.01;0;1;0;0.00;100.00;0.00;egal-
-ame;3;3;0.03;1;2;0;33.33;66.67;0.00;ema-
-nzen;4;2;0.02;0;0;2;0.00;0.00;100.00;nezn-
-uppe;4;4;0.05;0;4;0;0.00;100.00;0.00;eppu-
-nzip;4;1;0.01;0;0;1;0.00;0.00;100.00;pizn-
-rgung;5;1;0.01;0;1;0;0.00;100.00;0.00;gnugr-
-iß;2;2;0.02;1;0;1;50.00;0.00;50.00;ßi-
-obahn;5;1;0.01;0;1;0;0.00;100.00;0.00;nhabo-
-gst;3;2;0.02;0;2;0;0.00;100.00;0.00;tsg-
-usik;4;1;0.01;0;1;0;0.00;100.00;0.00;kisu-
-fzer;4;1;0.01;1;0;0;100.00;0.00;0.00;rezf-
-nzer;4;2;0.02;2;0;0;100.00;0.00;0.00;rezn-
-aum;3;4;0.05;4;0;0;100.00;0.00;0.00;mua-
-aun;3;2;0.02;1;0;1;50.00;0.00;50.00;nua-
-usin;4;1;0.01;1;0;0;100.00;0.00;0.00;nisu-
-amm;3;7;0.08;4;0;3;57.14;0.00;42.86;mma-
-eisch;5;2;0.02;0;0;2;0.00;0.00;100.00;hcsie-
-ail;3;2;0.02;0;1;1;0.00;50.00;50.00;lia-
-abak;4;1;0.01;1;0;0;100.00;0.00;0.00;kaba-
-ain;3;1;0.01;1;0;0;100.00;0.00;0.00;nia-
-nieur;5;1;0.01;1;0;0;100.00;0.00;0.00;ruein-
-ibel;4;1;0.01;0;1;0;0.00;100.00;0.00;lebi-
-ebel;4;3;0.03;3;0;0;100.00;0.00;0.00;lebe-
-watte;5;1;0.01;0;1;0;0.00;100.00;0.00;ettaw-
-abel;4;4;0.05;0;1;3;0.00;25.00;75.00;leba-
-aal;3;1;0.01;1;0;0;100.00;0.00;0.00;laa-
-hause;5;1;0.01;0;0;1;0.00;0.00;100.00;esuah-
-ient;4;1;0.01;1;0;0;100.00;0.00;0.00;tnei-
-aben;4;1;0.01;1;0;0;100.00;0.00;0.00;neba-
-last;4;1;0.01;1;0;0;100.00;0.00;0.00;tsal-
-eben;4;2;0.02;0;0;2;0.00;0.00;100.00;nebe-
-aus;3;5;0.06;0;2;3;0.00;40.00;60.00;sua-
-teuer;5;2;0.02;0;1;1;0.00;50.00;50.00;reuet-
-aut;3;4;0.05;0;2;2;0.00;50.00;50.00;tua-
-takt;4;1;0.01;1;0;0;100.00;0.00;0.00;tkat-
-amt;3;1;0.01;1;0;0;100.00;0.00;0.00;tma-
-ais;3;1;0.01;1;0;0;100.00;0.00;0.00;sia-
-mmung;5;2;0.02;0;2;0;0.00;100.00;0.00;gnumm-
-ehrer;5;1;0.01;1;0;0;100.00;0.00;0.00;rerhe-
-efühl;5;3;0.03;0;0;3;0.00;0.00;100.00;lhüfe-
-upfer;5;1;0.01;0;0;1;0.00;0.00;100.00;refpu-
-knick;5;1;0.01;0;0;1;0.00;0.00;100.00;kcink-
-eber;4;2;0.02;1;0;1;50.00;0.00;50.00;rebe-
-aber;4;1;0.01;1;0;0;100.00;0.00;0.00;reba-
-aar;3;3;0.03;0;0;3;0.00;0.00;100.00;raa-
-pelle;5;1;0.01;0;1;0;0.00;100.00;0.00;ellep-
