suffix;len;count;%count;der;die;das;%der;%die;%das;rev
-hthut;5;2;0.00;2;0;0;100.00;0.00;0.00;tuhth-
-ßbett;5;2;0.00;0;0;2;0.00;0.00;100.00;ttebß-
-gzone;5;6;0.00;0;6;0;0.00;100.00;0.00;enozg-
-hsess;5;4;0.00;4;0;0;100.00;0.00;0.00;ssesh-
-ung;3;35096;1.90;188;34901;7;0.54;99.44;0.02;gnu-
-esmos;5;1;0.00;1;0;0;100.00;0.00;0.00;somse-
-ilke;4;1;0.00;0;1;0;0.00;100.00;0.00;ekli-
-ergne;5;1;0.00;0;1;0;0.00;100.00;0.00;engre-
-hneck;5;9;0.00;1;0;8;11.11;0.00;88.89;kcenh-
-ytode;5;1;0.00;0;1;0;0.00;100.00;0.00;edoty-
-alböl;5;1;0.00;0;0;1;0.00;0.00;100.00;löbla-
-ufehe;5;1;0.00;0;1;0;0.00;100.00;0.00;ehefu-
-rgali;5;1;0.00;1;0;0;100.00;0.00;0.00;ilagr-
-uni;3;8;0.00;2;5;1;25.00;62.50;12.50;inu-
-xelei;5;1;0.00;0;1;0;0.00;100.00;0.00;ielex-
-trosa;5;1;0.00;0;0;1;0.00;0.00;100.00;asort-
-rgalk;5;1;0.00;1;0;0;100.00;0.00;0.00;klagr-
-nrast;5;2;0.00;1;1;0;50.00;50.00;0.00;tsarn-
-fru;3;1;0.00;1;0;0;100.00;0.00;0.00;urf-
-ßwolf;5;2;0.00;2;0;0;100.00;0.00;0.00;flowß-
-mstoß;5;7;0.00;7;0;0;100.00;0.00;0.00;ßotsm-
-unk;3;73;0.00;72;0;1;98.63;0.00;1.37;knu-
-kunx;4;1;0.00;1;0;0;100.00;0.00;0.00;xnuk-
-hston;5;1;0.00;1;0;0;100.00;0.00;0.00;notsh-
-ikata;5;2;0.00;0;2;0;0.00;100.00;0.00;ataki-
-xdick;5;1;0.00;1;0;0;100.00;0.00;0.00;kcidx-
